armor_category,armor_class,capacity,category_range,contents,cost,damage,desc,equipment_category,gear_category,index,name,properties,quantity,range,special,speed,stealth_disadvantage,str_minimum,throw_range,tool_category,two_handed_damage,url,vehicle_category,weapon_category,weapon_range,weight
,,,Simple Melee,,&{[quantity unit] map[quantity:1 unit:sp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x14000241660]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,club,Club,[0x140002416e0 0x14000241720],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/club,,Simple,Melee,2
,,,Simple Melee,,&{[quantity unit] map[quantity:2 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x14000241860]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,dagger,Dagger,[0x140002418e0 0x14000241920 0x140002419a0 0x140002419e0],,&{[normal] map[normal:5]},,,,,&{[normal long] map[long:60 normal:20]},,,/api/equipment/dagger,,Simple,Melee,1
,,,Simple Melee,,&{[quantity unit] map[quantity:2 unit:sp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x14000241b80]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,greatclub,Greatclub,[0x14000241c20],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/greatclub,,Simple,Melee,10
,,,Simple Melee,,&{[quantity unit] map[quantity:5 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x14000241d60]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,handaxe,Handaxe,[0x14000241de0 0x14000241e20 0x14000241ea0],,&{[normal] map[normal:5]},,,,,&{[normal long] map[long:60 normal:20]},,,/api/equipment/handaxe,,Simple,Melee,2
,,,Simple Melee,,&{[quantity unit] map[quantity:5 unit:sp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400025c0a0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,javelin,Javelin,[0x1400025c140 0x1400025c180],,&{[normal] map[normal:5]},,,,,&{[normal long] map[long:120 normal:30]},,,/api/equipment/javelin,,Simple,Melee,2
,,,Simple Melee,,&{[quantity unit] map[quantity:2 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x1400025c300]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,light-hammer,Light hammer,[0x1400025c380 0x1400025c3c0 0x1400025c420],,&{[normal] map[normal:5]},,,,,&{[normal long] map[long:60 normal:20]},,,/api/equipment/light-hammer,,Simple,Melee,2
,,,Simple Melee,,&{[quantity unit] map[quantity:5 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400025c5c0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,mace,Mace,[0x1400025c640],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/mace,,Simple,Melee,4
,,,Simple Melee,,&{[quantity unit] map[quantity:2 unit:sp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400025c7a0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,quarterstaff,Quarterstaff,[0x1400025c840 0x1400025c880],,&{[normal] map[normal:5]},,,,,,,&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400025c920]},/api/equipment/quarterstaff,,Simple,Melee,4
,,,Simple Melee,,&{[quantity unit] map[quantity:1 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d4 damage_type:0x1400025ca80]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,sickle,Sickle,[0x1400025cb00 0x1400025cb40],,&{[normal] map[normal:5]},,,,,,,,/api/equipment/sickle,,Simple,Melee,2
,,,Simple Melee,,&{[quantity unit] map[quantity:1 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d6 damage_type:0x1400025ccc0]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,spear,Spear,[0x1400025cd60 0x1400025cda0 0x1400025ce00],,&{[normal] map[normal:5]},,,,,&{[normal long] map[long:60 normal:20]},,&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400025cec0]},/api/equipment/spear,,Simple,Melee,3
,,,Simple Ranged,,&{[quantity unit] map[quantity:25 unit:gp]},&{[damage_dice damage_type] map[damage_dice:1d8 damage_type:0x1400025d040]},,&{[index name url] map[index:weapon name:Weapon url:/api/equipment-categories/weapon]},,crossbow-light,"Crossbow, light",[0x1400025d100 0x1400025d140 0x1400025d1a0],,&{[normal long] map[long:320 normal:80]},,,,,,,,/api/equipment/crossbow-light,,Simple,Ranged,5
