class,desc,feature_specific,index,level,name,parent,prerequisites,reference,subclass,url
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[In battle, you fight with primal ferocity. On your turn, you can enter a rage as a bonus action. While raging, you gain the following benefits if you aren't wearing heavy armor: - You have advantage on Strength checks and Strength saving throws. - When you make a melee weapon Attack using Strength, you gain a +2 bonus to the damage roll. This bonus increases as you level. - You have Resistance to bludgeoning, piercing, and slashing damage. If you are able to cast Spells, you can't cast them or concentrate on them while raging. Your rage lasts for 1 minute. It ends early if you are knocked Unconscious or if Your Turn ends and you haven't attacked a hostile creature since your last turn or taken damage since then. You can also end your rage on Your Turn as a Bonus Action. Once you have raged the maximum number of times for your barbarian level, you must finish a Long Rest before you can rage again. You may rage 2 times at 1st level, 3 at 3rd, 4 at 6th, 5 at 12th, and 6 at 17th.]",,rage,1,Rage,,[],,,/api/features/rage
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit.]",,barbarian-unarmored-defense,1,Unarmored Defense,,[],,,/api/features/barbarian-unarmored-defense
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Starting at 2nd level, you can throw aside all concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn.]",,reckless-attack,2,Reckless Attack,,[],,,/api/features/reckless-attack
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[At 2nd level, you gain an uncanny sense of when things nearby aren't as they should be, giving you an edge when you dodge away from danger. You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. To gain this benefit, you can't be blinded, deafened, or incapacitated.]",,danger-sense,2,Danger Sense,,[],,,/api/features/danger-sense
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[At 3rd level, you choose a path that shapes the nature of your rage. Choose the Path of the Berserker or the Path of the Totem Warrior, both detailed at the end of the class description. Your choice grants you features at 3rd level and again at 6th, 10th, and 14th levels.]",,primal-path,3,Primal Path,,[],,,/api/features/primal-path
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Starting when you choose this path at 3rd level, you can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends, you suffer one level of exhaustion (as described in appendix A).]",,frenzy,3,Frenzy,,[],,&{[index name url] map[index:berserker name:Berserker url:/api/subclasses/berserker]},/api/features/frenzy
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.]",,barbarian-ability-score-improvement-1,4,Ability Score Improvement,,[],,,/api/features/barbarian-ability-score-improvement-1
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.]",,barbarian-extra-attack,5,Extra Attack,,[],,,/api/features/barbarian-extra-attack
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Starting at 5th level, your speed increases by 10 feet while you aren't wearing heavy armor.]",,fast-movement,5,Fast Movement,,[],,,/api/features/fast-movement
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[Beginning at 6th level, you can't be charmed or frightened while raging. If you are charmed or frightened when you enter your rage, the effect is suspended for the duration of the rage.]",,mindless-rage,6,Mindless Rage,,[],,&{[index name url] map[index:berserker name:Berserker url:/api/subclasses/berserker]},/api/features/mindless-rage
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[By 7th level, your instincts are so honed that you have advantage on initiative rolls. Additionally, if you are surprised at the beginning of combat and aren't incapacitated, you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn.]",,feral-instinct,7,Feral Instinct,,[],,,/api/features/feral-instinct
