ability_score_bonuses,class,class_specific,features,index,level,prof_bonus,spellcasting,subclass,subclass_specific,url
0,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:2 rage_damage_bonus:2]},[0x1400025abe0 0x1400025ac20],barbarian-1,1,2,,,,/api/classes/barbarian/levels/1
0,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:2 rage_damage_bonus:2]},[0x1400025ad60 0x1400025ada0],barbarian-2,2,2,,,,/api/classes/barbarian/levels/2
0,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:3 rage_damage_bonus:2]},[0x1400025af00],barbarian-3,3,2,,,,/api/classes/barbarian/levels/3
1,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:3 rage_damage_bonus:2]},[0x1400025b020],barbarian-4,4,2,,,,/api/classes/barbarian/levels/4
1,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:3 rage_damage_bonus:2]},[0x1400025b120 0x1400025b160],barbarian-5,5,3,,,,/api/classes/barbarian/levels/5
1,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:4 rage_damage_bonus:2]},[],barbarian-6,6,3,,,,/api/classes/barbarian/levels/6
1,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:4 rage_damage_bonus:2]},[0x1400025b360],barbarian-7,7,3,,,,/api/classes/barbarian/levels/7
2,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:0 rage_count:4 rage_damage_bonus:2]},[0x1400025b460],barbarian-8,8,3,,,,/api/classes/barbarian/levels/8
2,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:1 rage_count:4 rage_damage_bonus:3]},[0x1400025b560],barbarian-9,9,4,,,,/api/classes/barbarian/levels/9
2,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:1 rage_count:4 rage_damage_bonus:3]},[],barbarian-10,10,4,,,,/api/classes/barbarian/levels/10
2,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:1 rage_count:4 rage_damage_bonus:3]},[0x1400025b760],barbarian-11,11,4,,,,/api/classes/barbarian/levels/11
3,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:1 rage_count:5 rage_damage_bonus:3]},[0x1400025b8a0],barbarian-12,12,4,,,,/api/classes/barbarian/levels/12
3,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:2 rage_count:5 rage_damage_bonus:3]},[0x1400025b9c0],barbarian-13,13,5,,,,/api/classes/barbarian/levels/13
3,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:2 rage_count:5 rage_damage_bonus:3]},[],barbarian-14,14,5,,,,/api/classes/barbarian/levels/14
3,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:2 rage_count:5 rage_damage_bonus:3]},[0x1400025bbc0],barbarian-15,15,5,,,,/api/classes/barbarian/levels/15
4,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:2 rage_count:5 rage_damage_bonus:4]},[0x1400025bce0],barbarian-16,16,5,,,,/api/classes/barbarian/levels/16
4,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:3 rage_count:6 rage_damage_bonus:4]},[0x1400025be00],barbarian-17,17,6,,,,/api/classes/barbarian/levels/17
4,&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},&{[rage_count rage_damage_bonus brutal_critical_dice] map[brutal_critical_dice:3 rage_count:6 rage_damage_bonus:4]},[0x1400025bf00],barbarian-18,18,6,,,,/api/classes/barbarian/levels/18
