actions,alignment,armor_class,challenge_rating,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,damage_vulnerabilities,desc,dexterity,forms,hit_dice,hit_points,hit_points_roll,image,index,intelligence,languages,legendary_actions,name,proficiencies,proficiency_bonus,reactions,senses,size,special_abilities,speed,strength,subtype,type,url,wisdom,xp
[0x140002da5c0 0x140002da660 0x140002da8a0 0x140002da960],lawful evil,[0x140002da040],10,18,[],15,[],[],[],,9,,18d10,135,18d10+36,/api/images/monsters/aboleth.png,aboleth,18,"Deep Speech, telepathy 120 ft.",[0x140002daa80 0x140002daac0 0x140002dab20],Aboleth,[0x140002da0e0 0x140002da180 0x140002da240 0x140002da2c0 0x140002da360],4,,&{[darkvision passive_perception] map[darkvision:120 ft. passive_perception:20]},Large,[0x140002da440 0x140002da480 0x140002da580],&{[walk swim] map[swim:40 ft. walk:10 ft.]},21,,aberration,/api/monsters/aboleth,15,5900
[0x140002db0e0],any alignment,[0x140002dac20],0.250000,11,[],10,[],[],[],"Acolytes are junior members of a clergy, usually answerable to a priest. They perform a variety of functions in a temple and are granted minor spellcasting power by their deities.",10,,2d8,9,2d8,/api/images/monsters/acolyte.png,acolyte,10,any one language (usually Common),,Acolyte,[0x140002dac80 0x140002dad20],2,,&{[passive_perception] map[passive_perception:12]},Medium,[0x140002dade0],&{[walk] map[walk:30 ft.]},10,any race,humanoid,/api/monsters/acolyte,14,50
[0x140002db720 0x140002db8a0 0x140002dbb40 0x140002dbc00 0x140002dbce0 0x140002dbdc0],chaotic evil,[0x140002db200],14,17,[],21,[acid],[],[],,14,,17d12,195,17d12+85,/api/images/monsters/adult-black-dragon.png,adult-black-dragon,14,"Common, Draconic",[0x140002dbf40 0x140000a2000 0x140000a2080],Adult Black Dragon,[0x140002db280 0x140002db320 0x140002db3c0 0x140002db440 0x140002db4c0 0x140002db540],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:21]},Huge,[0x140002db620 0x140002db680],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},23,,dragon,/api/monsters/adult-black-dragon,13,11500
[0x14000488380 0x140004884a0 0x14000488620 0x140004886e0 0x140004887a0 0x14000488860],lawful evil,[0x140000a2140],16,19,[],23,[lightning],[],[],,10,,18d12,225,18d12+108,/api/images/monsters/adult-blue-dragon.png,adult-blue-dragon,16,"Common, Draconic",[0x14000488a00 0x14000488a40 0x14000488aa0],Adult Blue Dragon,[0x140000a21c0 0x140000a2240 0x140000a22e0 0x14000488140 0x140004881c0 0x14000488240],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:22]},Huge,[0x14000488300],&{[walk burrow fly] map[burrow:30 ft. fly:80 ft. walk:40 ft.]},25,,dragon,/api/monsters/adult-blue-dragon,15,15000
[0x140004891a0 0x140004892c0 0x140004893a0 0x14000489460 0x14000489520 0x14000489620],chaotic good,[0x14000488c40],13,17,[],21,[fire],[],[],,10,,15d12,172,15d12+75,/api/images/monsters/adult-brass-dragon.png,adult-brass-dragon,14,"Common, Draconic",[0x14000489960 0x140004899a0 0x14000489a00],Adult Brass Dragon,[0x14000488cc0 0x14000488d40 0x14000488de0 0x14000488e60 0x14000488ee0 0x14000488f60 0x14000488fe0 0x14000489060],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:21]},Huge,[0x14000489120],&{[walk burrow fly] map[burrow:40 ft. fly:80 ft. walk:40 ft.]},23,,dragon,/api/monsters/adult-brass-dragon,13,10000
[0x140000a2460 0x140000a2580 0x140000a2680 0x140000a2740 0x140000a2800 0x140000a28c0],lawful good,[0x14000489b80],15,19,[],23,[lightning],[],[],,10,,17d12,212,17d12+102,/api/images/monsters/adult-bronze-dragon.png,adult-bronze-dragon,16,"Common, Draconic",[0x140000a2be0 0x140000a2c20 0x140000a2c80],Adult Bronze Dragon,[0x14000489c00 0x14000489c80 0x14000489d20 0x14000489da0 0x14000489e20 0x14000489ec0 0x14000489f40],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:22]},Huge,[0x140000a2380 0x140000a23c0],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},25,,dragon,/api/monsters/adult-bronze-dragon,15,13000
[0x140000a32e0 0x140000a3420 0x140000a3500 0x140000a35c0 0x140000a3680 0x140000a3740],chaotic good,[0x140000a2e00],14,17,[],21,[acid],[],[],,12,,16d12,184,16d12+80,/api/images/monsters/adult-copper-dragon.png,adult-copper-dragon,18,"Common, Draconic",[0x140000a3a60 0x140000a3aa0 0x140000a3b00],Adult Copper Dragon,[0x140000a2e80 0x140000a2f00 0x140000a2fa0 0x140000a3020 0x140000a30a0 0x140000a3120 0x140000a31a0],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:22]},Huge,[0x140000a3260],&{[walk climb fly] map[climb:40 ft. fly:80 ft. walk:40 ft.]},23,,dragon,/api/monsters/adult-copper-dragon,15,11500
[0x140002daa20 0x140002dae80 0x140002db040 0x140002db260 0x140002db500 0x140002db7e0],lawful good,[0x140000a3c80],17,24,[],25,[fire],[],[],,14,,19d12,256,19d12+133,/api/images/monsters/adult-gold-dragon.png,adult-gold-dragon,16,"Common, Draconic",[0x140005120a0 0x140005120e0 0x14000512140],Adult Gold Dragon,[0x140000a3d00 0x140000a3d80 0x140000a3e20 0x140000a3ea0 0x140000a3f20 0x140002da120 0x140002da320 0x140002da540],6,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:24]},Huge,[0x140002da720 0x140002da820],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},27,,dragon,/api/monsters/adult-gold-dragon,15,18000
[0x14000512960 0x14000512a80 0x14000512c00 0x14000512cc0 0x14000512d80 0x14000512e40],lawful evil,[0x140005122c0],15,17,[0x14000512800],21,[poison],[],[],,12,,18d12,207,18d12+90,/api/images/monsters/adult-green-dragon.png,adult-green-dragon,18,"Common, Draconic",[0x14000512fc0 0x14000513000 0x14000513060],Adult Green Dragon,[0x14000512340 0x140005123c0 0x14000512460 0x140005124e0 0x14000512560 0x140005125e0 0x14000512660 0x14000512700 0x14000512780],5,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:22]},Huge,[0x14000512880 0x140005128c0],&{[walk fly swim] map[fly:80 ft. swim:40 ft. walk:40 ft.]},23,,dragon,/api/monsters/adult-green-dragon,15,13000
[0x14000513660 0x14000513780 0x14000513900 0x140005139c0 0x14000513a80 0x14000513b40],chaotic evil,[0x140005131e0],17,21,[],25,[fire],[],[],,10,,19d12,256,19d12+133,/api/images/monsters/adult-red-dragon.png,adult-red-dragon,16,"Common, Draconic",[0x14000513cc0 0x14000513d00 0x14000513d60],Adult Red Dragon,[0x14000513260 0x140005132e0 0x14000513380 0x14000513400 0x140005134a0 0x14000513520],6,,&{[blindsight darkvision passive_perception] map[blindsight:60 ft. darkvision:120 ft. passive_perception:23]},Huge,[0x140005135e0],&{[walk climb fly] map[climb:40 ft. fly:80 ft. walk:40 ft.]},27,,dragon,/api/monsters/adult-red-dragon,13,18000
