class,desc,index,name,spells,subclass_flavor,subclass_levels,url
&{[index name url] map[index:barbarian name:Barbarian url:/api/classes/barbarian]},"[For some barbarians, rage is a means to an end--that end being violence. The Path of the Berserker is a path of untrammeled fury, slick with blood. As you enter the berserker's rage, you thrill in the chaos of battle, heedless of your own health or well-being.]",berserker,Berserker,,Primal Path,/api/subclasses/berserker/levels,/api/subclasses/berserker
&{[index name url] map[index:bard name:Bard url:/api/classes/bard]},"[Bards of the College of Lore know something about most things, collecting bits of knowledge from sources as diverse as scholarly tomes and peasant tales. Whether singing folk ballads in taverns or elaborate compositions in royal courts, these bards use their gifts to hold audiences spellbound. When the applause dies down, the audience members might find themselves questioning everything they held to be true, from their faith in the priesthood of the local temple to their loyalty to the king. The loyalty of these bards lies in the pursuit of beauty and truth, not in fealty to a monarch or following the tenets of a deity. A noble who keeps such a bard as a herald or advisor knows that the bard would rather be honest than politic. The college's members gather in libraries and sometimes in actual colleges, complete with classrooms and dormitories, to share their lore with one another. They also meet at festivals or affairs of state, where they can expose corruption, unravel lies, and poke fun at self-important figures of authority.]",lore,Lore,,Bard College,/api/subclasses/lore/levels,/api/subclasses/lore
&{[index name url] map[index:cleric name:Cleric url:/api/classes/cleric]},"[The Life domain focuses on the vibrant positive energy--one of the fundamental forces of the universe--that sustains all life. The gods of life promote vitality and health through healing the sick and wounded, caring for those in need, and driving away the forces of death and undeath. Almost any non-evil deity can claim influence over this domain, particularly agricultural deities, sun gods, gods of healing or endurance, and gods of home and community.]",life,Life,[0x14000241740 0x14000241800 0x140002418e0 0x140002419c0 0x14000241aa0 0x14000241b60 0x14000241c40 0x14000241d20 0x14000241de0],Divine Domain,/api/subclasses/life/levels,/api/subclasses/life
&{[index name url] map[index:druid name:Druid url:/api/classes/druid]},"[The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.]",land,Land,[0x14000241f40 0x1400025c120 0x1400025c260 0x1400025c380 0x1400025c4c0 0x1400025c600 0x1400025c760 0x1400025c8a0 0x1400025c9e0 0x1400025cb20 0x1400025cc80 0x1400025cdc0 0x1400025cf00 0x1400025d060 0x1400025d1a0 0x1400025d2c0 0x1400025d3e0 0x1400025d500 0x1400025d640 0x1400025d780 0x1400025d8a0 0x1400025d9c0 0x1400025db20 0x1400025dc60 0x1400025dd80 0x1400025dea0 0x1400027a040 0x1400027a180 0x1400027a2c0 0x1400027a3e0 0x1400027a540 0x1400027a6a0 0x1400027a7c0 0x1400027a900 0x1400027aa20 0x1400027ab60 0x1400027acc0 0x1400027ae00 0x1400027af40 0x1400027b0a0 0x1400027b200 0x1400027b340 0x1400027b4a0 0x1400027b5e0 0x1400027b700 0x1400027b840 0x1400027b960 0x1400027ba80 0x1400027bba0 0x1400027bce0 0x1400027be20 0x1400027bf60 0x14000294120 0x14000294280 0x140002943e0 0x14000294520],Druid Circle,/api/subclasses/land/levels,/api/subclasses/land
&{[index name url] map[index:fighter name:Fighter url:/api/classes/fighter]},[The archetypal Champion focuses on the development of raw physical power honed to deadly perfection. Those who model themselves on this archetype combine rigorous training with physical excellence to deal devastating blows.],champion,Champion,,Martial Archetype,/api/subclasses/champion/levels,/api/subclasses/champion
&{[index name url] map[index:monk name:Monk url:/api/classes/monk]},"[Monks of the Way of the Open Hand are the ultimate masters of martial arts combat, whether armed or unarmed. They learn techniques to push and trip their opponents, manipulate ki to heal damage to their bodies, and practice advanced meditation that can protect them from harm.]",open-hand,Open Hand,,Monastic Tradition,/api/subclasses/open-hand/levels,/api/subclasses/open-hand
&{[index name url] map[index:paladin name:Paladin url:/api/classes/paladin]},"[The Oath of Devotion binds a paladin to the loftiest ideals of justice, virtue, and order. Sometimes called cavaliers, white knights, or holy warriors, these paladins meet the ideal of the knight in shining armor, acting with honor in pursuit of justice and the greater good. They hold themselves to the highest standards of conduct, and some, for better or worse, hold the rest of the world to the same standards. Many who swear this oath are devoted to gods of law and good and use their gods' tenets as the measure of their devotion. They hold angels--the perfect servants of good--as their ideals, and incorporate images of angelic wings into their helmets or coats of arms.]",devotion,Devotion,[0x14000294800 0x140002948c0 0x140002949a0 0x14000294a60 0x14000294b40 0x14000294c00 0x14000294ce0 0x14000294da0 0x14000294e80 0x14000294f40],Sacred Oath,/api/subclasses/devotion/levels,/api/subclasses/devotion
&{[index name url] map[index:ranger name:Ranger url:/api/classes/ranger]},"[Emulating the Hunter archetype means accepting your place as a bulwark between civilization and the terrors of the wilderness. As you walk the Hunter's path, you learn specialized techniques for fighting the threats you face, from rampaging ogres and hordes of orcs to towering giants and terrifying dragons.]",hunter,Hunter,,Ranger Archetype,/api/subclasses/hunter/levels,/api/subclasses/hunter
&{[index name url] map[index:rogue name:Rogue url:/api/classes/rogue]},"[You hone your skills in the larcenous arts. Burglars, bandits, cutpurses, and other criminals typically follow this archetype, but so do rogues who prefer to think of themselves as professional treasure seekers, explorers, delvers, and investigators. In addition to improving your agility and stealth, you learn skills useful for delving into ancient ruins, reading unfamiliar languages, and using magic items you normally couldn't employ.]",thief,Thief,,Roguish Archetype,/api/subclasses/thief/levels,/api/subclasses/thief
&{[index name url] map[index:sorcerer name:Sorcerer url:/api/classes/sorcerer]},"[Your innate magic comes from draconic magic that was mingled with your blood or that of your ancestors. Most often, sorcerers with this origin trace their descent back to a mighty sorcerer of ancient times who made a bargain with a dragon or who might even have claimed a dragon parent. Some of these bloodlines are well established in the world, but most are obscure. Any given sorcerer could be the first of a new bloodline, as a result of a pact or some other exceptional circumstance.]",draconic,Draconic,,Sorcerous Origin,/api/subclasses/draconic/levels,/api/subclasses/draconic
