ref_index,ref_name,spells_index
wizard,Wizard,acid-arrow
sorcerer,Sorcerer,acid-splash
wizard,Wizard,acid-splash
cleric,Cleric,aid
paladin,Paladin,aid
ranger,Ranger,alarm
wizard,Wizard,alarm
sorcerer,Sorcerer,alter-self
wizard,Wizard,alter-self
bard,Bard,animal-friendship
druid,Druid,animal-friendship
ranger,Ranger,animal-friendship
bard,Bard,animal-messenger
druid,Druid,animal-messenger
ranger,Ranger,animal-messenger
druid,Druid,animal-shapes
cleric,Cleric,animate-dead
wizard,Wizard,animate-dead
bard,Bard,animate-objects
sorcerer,Sorcerer,animate-objects
wizard,Wizard,animate-objects
druid,Druid,antilife-shell
cleric,Cleric,antimagic-field
wizard,Wizard,antimagic-field
druid,Druid,antipathy-sympathy
wizard,Wizard,antipathy-sympathy
cleric,Cleric,arcane-eye
wizard,Wizard,arcane-eye
wizard,Wizard,arcane-hand
wizard,Wizard,arcane-lock
bard,Bard,arcane-sword
wizard,Wizard,arcane-sword
wizard,Wizard,arcanists-magic-aura
cleric,Cleric,astral-projection
warlock,Warlock,astral-projection
wizard,Wizard,astral-projection
cleric,Cleric,augury
bard,Bard,awaken
druid,Druid,awaken
bard,Bard,bane
cleric,Cleric,bane
cleric,Cleric,banishment
paladin,Paladin,banishment
sorcerer,Sorcerer,banishment
warlock,Warlock,banishment
wizard,Wizard,banishment
druid,Druid,barkskin
ranger,Ranger,barkskin
cleric,Cleric,beacon-of-hope
bard,Bard,bestow-curse
cleric,Cleric,bestow-curse
wizard,Wizard,bestow-curse
wizard,Wizard,black-tentacles
cleric,Cleric,blade-barrier
cleric,Cleric,bless
paladin,Paladin,bless
druid,Druid,blight
sorcerer,Sorcerer,blight
warlock,Warlock,blight
wizard,Wizard,blight
bard,Bard,blindness-deafness
cleric,Cleric,blindness-deafness
sorcerer,Sorcerer,blindness-deafness
wizard,Wizard,blindness-deafness
sorcerer,Sorcerer,blink
wizard,Wizard,blink
sorcerer,Sorcerer,blur
wizard,Wizard,blur
paladin,Paladin,branding-smite
sorcerer,Sorcerer,burning-hands
wizard,Wizard,burning-hands
druid,Druid,call-lightning
bard,Bard,calm-emotions
cleric,Cleric,calm-emotions
sorcerer,Sorcerer,chain-lightning
wizard,Wizard,chain-lightning
bard,Bard,charm-person
druid,Druid,charm-person
sorcerer,Sorcerer,charm-person
warlock,Warlock,charm-person
wizard,Wizard,charm-person
sorcerer,Sorcerer,chill-touch
warlock,Warlock,chill-touch
wizard,Wizard,chill-touch
sorcerer,Sorcerer,circle-of-death
warlock,Warlock,circle-of-death
wizard,Wizard,circle-of-death
bard,Bard,clairvoyance
cleric,Cleric,clairvoyance
sorcerer,Sorcerer,clairvoyance
wizard,Wizard,clairvoyance
wizard,Wizard,clone
sorcerer,Sorcerer,cloudkill
wizard,Wizard,cloudkill
